name,gender,attributes,colour,price,category,desc
V Neck Floaty Ruffle Midaxi Dress,female,Main: 100% Polyester. Lining: 100% Polyester. Model wears UK size 10.,cream,£35.00,DRESSES,"Every girl's wardrobe should include a classic skater dress, and we think this one is a pretty good starting point. Comprised of a fitted bodice with a flared skirt, this is a style that flatters all body shapes. Figure balancing, super flattering, and seriously easy to style, dress up with heels or down with trainers, depending on your vibe. Add statement jewellery and a red lip and get ready to turn some heads. Sexy but simple…we’re into it."
Basic Woven Plunge Lapel Crop Blazer,female,90% Polyester and 10% Elastane. Machine washable. Model Wears UK Size 10.,red,£13.50,COATS & JACKETS,"A menswear classic with a feminine edge, add a touch of soft tailoring to your wardrobe with a blazer. Resembling a suit jacket but cut more casually for an effortlessly chic look, blazers are the trans-seasonal piece you need. Featuring lapels and button detailing, we've got blazers for women who wanna bring a new kinda energy to their outfits. Team a double-breasted blazer with some heel boots, or get on board with the oversized trend and go for longline pieces for an edgy vibe."
Plus Essentials Square Neck Swimsuit,female,82% Polyester. 18% Elastane. Machine wash. Model wears UK size 16.,pink,£10.00,PLUS SIZE SWIMWEAR,"Show off those killer curves with this plus size swimwear piece from our latest collection. Curve enhancing, silhouette smoothing, and perfect for poolside lounging, this style is guaranteed to make you feel like the best version of yourself. Pair with a floaty kimono and some oversized sunnies and prepare to cause a storm. Need more inspo? Choose a plus size swimsuit for sunset loving nights at the beach or a plus size bikini to snatch that tan. Available in a range of prints, colours, and silhouettes, from high waisted to one pieces, grab yourself some dreamy curve swimwear that makes you feel confidently you."
Beige Plus Brushed Rib Key Hole Top,female,100% Polyester. Machine Wash. Model wears UK size 16.,taupe,£11.25,PLUS SIZE BODYSUITS,"Update your wardrobe with this plus size bodysuit from our dedicated curve range. A form fitting, curve enhancing style with a press-stud fastening, this piece can be dressed up or down, depending on the vibe. Team with coated jeans and statement heels for date night plans, or pair with tailored trousers for a brunch date with your bestie. For an instant fresh 'fit, a plus size black bodysuit is perfect to replace your go-to t shirts. Got a date night planned? Team a dreamy plus size lace bodysuit with a leather skirt and standout heels."
Bridesmaid Satin Robe,female,"100% Polyester, Embroidery 100% Viscose. Model wears UK Size 10 / M. Machine Washable.",black,£16.50,NIGHTWEAR,"Name a better duo than the bride and her bestie. Make the bride stand out with this bride dressing gown. Perfect for getting ready for your big day, this bride robe passes all the vibe checks. Do it for the glam as this comfy dressing gown will make you feel like the star of the show and help ease the pre-wedding jitters with its homely feel. As a loose-fitting outer garment, this robe will keep you cool and relaxed."
Tall Geo Halter Maxi Dress With Headscarf,female,95% Polyester 5% Elastane. Machine Wash. Model wears UK size 10.,ivory,£15.00,TALL CLOTHING,"Get ready to turn heads with this piece from our range of tall dresses. boohoo's collection of tall dresses for women is a one-stop-shop if you're 5'7"" or over, whether you're looking for work-to-bar smart, smouldering date night styles or standout party pieces. Need some inspiration? Work it in a tall maxi dress for summer or show off your long pins in a tall midi dress."
Basic Gloves,female,Material: 100% Acrylic,tan,£6.00,ACCESSORIES,"Stay warm and fabulous and grab our all-weather worthy collection of women's hats, scarves and gloves. Looking good in layers has never been easier with edgy beret hats or beanies. Grab a wrap-able chunky knit scarf from a women's scarves edit - it's the perfect layer for that new coat you just bought. Finish off the look and keep your hands warm with our women's gloves - from leather to knitted, add a serious colour pop to your 'fit."
Wrap Front Sports Gym Bra,female,NA,blue,£6.00,TOPS,"Let our women's sport bras keep you cool and fashion-forward whether you're hitting it hard at the gym, or just feel like something a little more comfortable on those busy, on-the-go days. Our stylish workout bras look unreal worn alone with matching leggings. If you're after extra support, grab a padded sports bra or push up style - our gym bras are about to become your new fave workout piece."
Satin Plunge Blouson Sleeve Maxi Dress,female,Main: 100% Polyester. Lining: 100% Polyester. Model wears UK size 10.,mustard,£21.00,DRESSES,"Made with a satin weave fabric, this satin dress is a wardrobe staple. Soft to touch and extra luxe, a silky dress is all you need - just add a statement jacket and heeled boots to catch eyes. Its breathable and lightweight fabric make it perfect for warmer weather, and it's just as versatile for colder months too. With a shiny finish, nothing’s more iconic than a red satin dress, worn best with killer heels and diamante hoops. We love a satin maxi dress to transition from day to night, just swap trainers for heels."
Black Plus Textured Ruffle Tie Detail Cropped Blouse Top,female,95% Polyester. 5% Elastane. Machine Wash. Model wears a UK size 16.,black,£25.00,NEW IN,"A certified wardrobe hero we can’t live without, cause a storm this season in this plus size blouse from our latest collection. A smart, tailored style cut off above the waist to accentuate your curves, this floaty style can be dressed up or down, depending on the vibe. Want that 'jeans and a nice top' look? Wear a plus size white blouse with your high waisted denim and some chunky trainers and your weekend uniform is set. Detail is key with this one, that's why we're loving plus size ruffle blouses to add texture to an everyday look."
Metallic Barely There Low Stiletto Heels,female,Upper: synthetic leather Lining: synthetic material Outer: synthetic materials,silver,£20.00,SHOES,"For that subtle but statement-making shoe, barely-there heels are the new-season essential which need to be next in your basket. A minimal style which goes with any outfit, they’re bold but in a subtle way, giving you more room to add vibrancy elsewhere or rock that toned-down look. The best bit? The barely there design makes your legs look longer – a real winner. Pair barely-there sandals with your fave out-out outfit or elevate your jeans and a nice top with this classy style."
Croc Curve Grab Bag,female,Material: Main: 100% Polyurethane    Lining:  100% Polyurethane   Exclude trims,blue,£13.50,ACCESSORIES,"Yes… plans are finally a thing again! Grab this mini bag on your way out, when you only need the essentials. Phone, ID, keys and your lipgloss... and you’re sorted. Don’t get weighed down with extra baggage, with this little grab bag you’ve got better mobility to be making moves all night long. Own that dancefloor! A super cute addition to any outfit, this elegant little handbag is a big must for any wardrobe."
Off The Shoulder Utility Jumpsuit,female,NA,khaki,£21.00,JUMPSUITS & PLAYSUITS,"On the hunt for the perfect new-season piece? This bardot jumpsuit is just for you. Sitting off the shoulder for a flattering fit, an off the shoulder jumpsuit is the perfect addition to your summer collection. Curve accentuating, shoulder enhancing, and super easy on the eye, this style seriously brings the heat. From classic black bardot jumpsuits with ruffle detailing to white bardot jumpsuits perfect for long summer days, we’ve got you covered. Just add strappy sandals and you’re ready to go."
Plus Porcelain Wrap Tie Belt Maxi Dress,female,"100% polyester , Machine wash, Model wears UK size 16.",blue,£16.50,PLUS SIZE DRESSES,"This plus size wrap dress is about to become your new go-to. With a wrap-around design that cinches you in at the waist and creates a soft V neckline, there’s no denying a plus wrap dress deserves a place in your dresses collection. Whether you’re loving floral styles, understated black or statement red for date night, it’s time to show off your figure in this flattering dress."
Tall Embroidered Crinkle Puff Sleeve Maxi Kimono,female,100% Polyester. Machine Wash. Model wears a UK size 10.,white,£18.75,SWIMWEAR,"Tired of swimsuits that don’t fit your body? Try out our range of tall swimwear. Designed for women 5’7” and over, our tall swimsuits and bikinis have extra fabric around the torso where necessary, and also come with a better overall fit. These are comfortable and practical, letting you feel confident and completely at ease. Add these to your cart, prepare your wardrobe for summer, but first, which way to the beach?"
3d Tonal Embroidered Slogan Oversized T-shirt,female,NA,pink,£9.00,SUSTAINABILITY,"A low-key style we high-key love, the oversized t-shirt is a must-have in every wardrobe. Featuring a loose and baggy fit perfect for off-duty days, an oversized t-shirt is a year-round staple. Spend your weekends in a comfy oversized top; just team with cycling shorts and white trainers for last minute errands. If statement is more your style, we’ve got extreme V front oversized shirts that perfectly pair with your fave jeans. Whatever your vibe, the oversized shirt will make sure you come out on top."
Tall Hooded Zip Through Teddy Bomber Jacket,female,100% Polyester. Machine Wash Only. Model wears UK size 10.,black,£18.75,TALL CLOTHING,"Don’t sacrifice your style just because the weather is starting to grow colder. The season has changed, and it’s time for new chapter outfits. Our tall coats & jackets are perfect for women 5’7”, with a longer line that makes them fit better than regular coats. Better fitting, these will be much more practical, but not only that, they’ll be more comfortable. These tall women’s coats are perfect for those long winter months, exploring Christmas markets or shivering outside the pub."
Puff Print Sweater Tracksuit,female,"65% Cotton, 35% Polyester. Machine Wash. Model wears UK size M.",forest,£26.25,TRACKSUITS,"This tracksuit is perfect for a head to toe refresh. Complete with matching hoodie and joggers, it's about to become your ultimate winter fit (just wear it with your go-to trainers). We've come through with our latest collection of  women's tracksuits girl, go take a look."
Textured Longlne Shirt,female,100% Cotton. Machine Wash. Model wears UK size 10.,white,£15.00,SKIRTS,"New chapter outfits are here, but just because the season is changing doesn’t mean the classics are. Timeless trends are timeless for a reason, and a women's striped shirt never goes out of style. Whether vertical or horizontal, stripes are always in season. Practical and versatile, there’s no limit to a striped shirt, with smart or casual occasions totally catered for. It’s all about the accessorising and the powers in your hands. Dress this wardrobe staple up or down and make a statement at any occasion."
Teddy Lined Gilet,female,NA,black,£40.00,COATS & JACKETS,"Hands up if you're ready for gilet season - the perfect companion for those colder days. A padded sleeveless jacket resembling a waistcoat design, our gilets have got you covered this winter. Snug, sophisticated and always in style, team a fitted body warmer with a fresh crop top and high waisted mom jeans for a crisp autumnal look. Perfect for layering, grab your go-to heeled boots and faux leather trousers and slip into a shaggy faux fur gilet for snug winter wanders. Need something cosier for your off-duty days? Layer a padded body warmer over your fave roll neck and joggers, and get ready to relax."
Leather Plait Detail Two Part Sandals,female,Upper: leather Lining: synthetic material Outer: synthetic materials,white,£15.00,SHOES,"We all need a reliable shoe like we do a best pal and that’s what you’re dealing with when it comes to these leather shoes. Say hey to comfort heaven, when you slide your feet into these bad boys, as these women's leather shoes offer a comfortable design and are crafted with a breathable material. Made from genuine leather, a more durable design, and easy to clean, these shoes bring new energy to your wardrobe and can be ideal for all types of events."
Leather Wide Fit Metallic Woven Detail Slips On Sandals,female,Upper: leather Lining: synthetic material Outer: synthetic materials,gold,£16.50,SHOES,"Serve looks, feel comfy this season and step out in style with our latest collection of wide-fit sandals. Designed with extra room across the band of the shoe and around the ankle, this style offers a wider tread on the sole to maximise comfort while still looking sleek. Pair wide sandals with a floaty summer dress for warmer days or team with your fave jeans-and-a-nice-top combo for a luxe look. Whatever your vibe, your new fave pair of sandals is right here."
Soft Rib Half Zip Midi Dress,female,NA,pink,£13.50,DRESSES,"It’s the dress your nights out need - welcome the mini bodycon dress to your wardrobe girl. Let's face it, everyone needs a bodycon mini dress in their collection, and this one's got the perfect vibe for going out and making a statement. Wear it with lace up barely there heels and add some accessories for extra details. Can't decide what colour? We're loving red and black mini bodycon dresses for a look that serves you all season."
Maternity Belted Frill Hem Shirt Dress,female,100% Polyester. Model wears size 10. Machine wash.,green,£13.50,MATERNITY CLOTHING,"Step out in style with this comfortable yet stylish maternity dress. Created to fit you and your growing bump, our pregnancy dresses are designed with a little more room around the middle. From maternity smock dresses to maternity occasion dresses, we’ve got a style for every occasion. Pair this one with simple sandals and barely there jewellery and you’re good to go! Keeping things casual? Pair with flatform trainers and a denim jacket for an effortlessly cool look. Look cute, feel comfy."
Pave Open Heart Stud Earrings,female,"Material: 90% recycled zinc, 5% glass, 5% resin",silver,£3.00,SUSTAINABILITY,"Earrings are the must-have accessory of the moment. From simple stud earrings to statement drop designs, our women's earrings collection features the hottest styles around. Go with silver or gold earrings to add attitude to the most simplest of looks. We are all about keeping you in this season's style loop, so check out our fashion earrings and new season hoop designs to add detail to your 'fits."
Wide Fit Basic 2 Part Flatforms,female,Upper: synthetic leather Lining: synthetic material Outer: synthetic materials,white,£18.75,SHOES,"Wanna really step up this season? Shop our range of flatforms and add a little height to your look. A flat shoe featuring a raised, thick sole, flatform shoes give you added height without compromising on comfort. Go from beach to bar in a pair of flatform sandals and show off those bronzed pins, or nail your street style in a pair of flatform trainers teamed with flared trousers and an oversized jumper…it’s a vibe."
Plus Satin Plunge Blouson Sleeve Maxi Dress,female,100% Polyester. Machine wash. Model wears UK size 16.,olive,£30.00,PLUS SIZE DRESSES,"A longline style that lengthens your silhouette and skims your curves for a super flattering look, create the fit you've been dreaming of this season with this plus size maxi dress. A versatile piece you can dress up with heels or keep casual with sliders, plus size long dresses are a wardrobe saviour when you don't know what to wear. Updated for the new season with floral prints, as well as some jersey pieces to keep your lounge style on lock, invest in a plus size floor length dress (it will look good on you)."
Petite Dsgn Studio Slogan Oversized Sweat Dress,female,100% Polyester. Machine Wash. Model Wears Size M.,black,£13.50,PETITE DRESSES,"Up your style game this season with our collection of petite hoodies and sweatshirts. Designed especially for all you dolls 5’3’’ and under, this piece has been cut slightly shorter to achieve the perfect fit. Whether you’re heading out on a cinema date with the girls or just chilling at home, this one is comfy, cool, and seriously easy to style. Wanna pass the vibe check? Just pair with some oversized joggers and your fave trainers and you’re sorted. Street style approved."
Boutique Crochet Lace Strappy Midi Dress,female,NA,berry,£38.00,DRESSES,"Crochet dresses are a big YES in our style bible, and this one is straight to the top of our wish list. Featuring a classic crochet design for an on-trend look, the detail and texture in crochet dresses makes them unique, stylish, and a seriously cool addition to your new-season wardrobe. A white crochet dress will really make your tan pop or pair a black crochet dress with gold sandals for a killer look that takes you from sundowners to dinner."
Maternity Textured Smock Mini Dress,female,100% Polyester. Model wears size 10. Machine wash.,blue,£15.00,MATERNITY CLOTHING,"Step out in style with this comfortable yet stylish maternity dress. Created to fit you and your growing bump, our pregnancy dresses are designed with a little more room around the middle. From maternity smock dresses to maternity occasion dresses, we’ve got a style for every occasion. Pair this one with simple sandals and barely there jewellery and you’re good to go! Keeping things casual? Pair with flatform trainers and a denim jacket for an effortlessly cool look. Look cute, feel comfy."
Square Toe Chunky Fisherman Sandal,female,Upper: synthetic leather Lining: synthetic material Outer: synthetic materials,white,£20.00,SHOES,"Wanna really step up this season? Shop our range of flatforms and add a little height to your look. A flat shoe featuring a raised, thick sole, flatform shoes give you added height without compromising on comfort. Go from beach to bar in a pair of flatform sandals and show off those bronzed pins, or nail your street style in a pair of flatform trainers teamed with flared trousers and an oversized jumper…it’s a vibe."
Tall Leopard Wrap Tie Belt Jumpsuit,female,95% Polyester 5% Elastane. Machine Wash. Model Wears UK Size 10.,leopard,£15.00,TALL CLOTHING,"Cut those mornings in half with the help of a tall playsuit or jumpsuit from our latest arrivals. When the temperature rises, we've got playsuits for tall ladies, seen in fresh florals, ruffle sleeves and colourful prints. Take on the night in a tall jumpsuit, we're loving lace trims, plunging necklines and cut-out details. For all girls 5'7"" and over, a long length jumpsuit for tall women is the effortless piece you need."
White Edge Square Top Rim Sunglasses,female,Material: 60% RECYLCED POLYCARBONATE ;40% BRASS,white,£6.00,SUSTAINABILITY,"A summer staple that’s everything you’ve been scrolling for, get shady this season in this pair of sunglasses from our latest collection. Designed to protect your eyes from the sun (while never compromising on style), this style is ideal for summer days, festivals and beyond. From sleek cat-eye sunglasses to the forever-cool aviators, discover the latest sunglasses for women who love doing weekend trips and holidays in style. Seen in timeless tortoiseshell and leopard prints to classic black sunglasses that go with everything, your sunnies collection deserves an upgrade girl so get on board with this pair."
Tailored Wrap Over Playsuit,female,100% Polyester. Model wears size 10,ivory,£22.50,JUMPSUITS & PLAYSUITS,"Got plans? Step aside dresses, ‘cos this going out playsuit is for you. An all-in-one piece guaranteed to accentuate your curves, this evening playsuit is leg-lengthening, silhouette balancing, and perfect for partywear. From ruched detailing to puff sleeves, cowl necklines, and lace trims, we have a style to match every vibe. Whether you’re heading out with bae or for cocktails with the girls, pair this one with lace up heels and a micro-bag and get ready to bring the heat."
Black Tall One Shoulder Keyhole Detail Slinky Bodysuit,female,95% Polyester. 5% Elastane. Machine Wash. Model Wears UK Size 10.,black,£9.00,TALL BODYSUITS,"Tall girls, we’ve got your back this season. This tall bodysuit is designed specifically for women 5’7” and over, perfect for longer torsos with a seamless, tucked-in finish, ideal for accentuating the figure. Say goodbye to clothes that compromise on comfort - our tall bodysuits are comfortable and practical, as well as versatile. Style these with ease, accessorising to your exact tastes and dress up or down to suit the occasion."
Ripped Western Denim Jacket,female,"73% cotton, 18% polyester, 9% viscose. Machine wash. Model wears UK size 10.",light wash,£22.50,SUSTAINABILITY,"Comfortable and versatile, slip into a denim jacket for easy, off-duty style. An ideal alternative to coats, our women's denim jackets are an on-trend essential. In a variety of washes and fabrics, wear a cropped denim jacket with a slogan tee, co-ordinating jeans and trainers. Take it to the evening and wear a black denim jacket with a cami top and heels."
Oversized Burnt Orange Sunglasses,female,Material: 100% POLYCARBONATE,burnt orange,£7.50,ACCESSORIES,"A summer staple that’s everything you’ve been scrolling for, get shady this season in this pair of sunglasses from our latest collection. Designed to protect your eyes from the sun (while never compromising on style), this style is ideal for summer days, festivals and beyond. From sleek cat-eye sunglasses to the forever-cool aviators, discover the latest sunglasses for women who love doing weekend trips and holidays in style. Seen in timeless tortoiseshell and leopard prints to classic black sunglasses that go with everything, your sunnies collection deserves an upgrade girl so get on board with this pair."
Pleated Cape Swing Dress,female,Main: 100% Polyester. Lining: 100% Polyester. Dry clean only. Model wears UK size 10.,lemon,£35.00,DRESSES,"Got a wedding to plan? Get your bridesmaid squad ready in style with our new season collection of bridesmaid dresses. We're loving blush pinks, sultry greys, pretty blues and mint greens for this season's key hues. Chiffon is a go-to material for your bridesmaid dresses, with its delicate design and floaty silhouette. Rethink long bridesmaid dresses with split leg details and wrap silhouettes or choose midi styles for the perfect summer look. Whether it's a strapless burgundy piece or a navy bridesmaid dress that suits every team bride member, we've got all the affordable options at boohoo."
Petite Cap Sleeve Slinky Maxi Dress,female,95% Polyester 5% Elastane. Machine Wash. Model Wears size 10.,black,£12.00,PETITE DRESSES,"Specifically designed to fit those 5’3’’ and under, boohoo’s range of petite maxi dresses is here to elevate your wardrobe this season. From floral designs to daring thigh splits, our collection of petite long dresses has you covered. Whether you’re heading abroad or enjoying a staycation, just pair with barely-there heels and a cute clutch and get ready to turn some serious heads. PSA: if you’re feeling more casual, this one would look just as good with chunky trainers and an oversized beach bag."
Plus Chiffon Floral Ruffle Hem Smock Dress,female,NA,yellow,£30.00,PLUS SIZE DRESSES,"Capture your everyday style with this plus size smock dress from our updated collection. Featuring a lightweight, breezy fabric in a 1920s style, this loose fitting, free moving dress is made with extra fabric for the perfect fit. Loved for its ‘throw on and go’ vibe and seriously flattering fit, the smock dress has become a must-have shape in every curve girl’s collection. Comfort is key with a plus size summer smock dress, so just team it with chunky sandals or your go-to trainers. Easy dressing never looked so good."
Blue Plus Western Denim Shirt,female,100% Polyester. Machine wash. Model wears UK size 16.,mid blue,£15.00,NEW IN,"Introducing your new fave top from our latest collection of plus size tops. Chic, versatile, and the perfect addition to your new-season wardrobe, this style is everything you’ve been scrolling for. Pair with your fave jeans and chunky trainers for off-duty days or go all-out with wide leg trousers and statement heels. Want more? From wardrobe essentials like plus size shirts, to stand-out styles from our plus size party tops edit, find your everyday 'fits right here."
Croc Mini Tote Bag,female,"Material: Main: 100% Polyurethane, Lining: 100% Polyester, Excluding trims",pink,£13.50,ACCESSORIES,"Yes… plans are finally a thing again! Grab this mini bag on your way out, when you only need the essentials. Phone, ID, keys and your lipgloss... and you’re sorted. Don’t get weighed down with extra baggage, with this little grab bag you’ve got better mobility to be making moves all night long. Own that dancefloor! A super cute addition to any outfit, this elegant little handbag is a big must for any wardrobe."
Acid Wash Rose Pocket Print Oversized T-shirt,female,NA,black,£7.50,TOPS,"A low-key style we high-key love, the oversized t-shirt is a must-have in every wardrobe. Featuring a loose and baggy fit perfect for off-duty days, an oversized t-shirt is a year-round staple. Spend your weekends in a comfy oversized top; just team with cycling shorts and white trainers for last minute errands. If statement is more your style, we’ve got extreme V front oversized shirts that perfectly pair with your fave jeans. Whatever your vibe, the oversized shirt will make sure you come out on top."
Plus Dobby Spot Peplum Smock Top,female,100% Polyester. Machine wash. Model wears UK size 16.,black,£13.50,PLUS SIZE TOPS,"Introducing your new fave top from our latest collection of plus size tops. Chic, versatile, and the perfect addition to your new-season wardrobe, this style is everything you’ve been scrolling for. Pair with your fave jeans and chunky trainers for off-duty days or go all-out with wide leg trousers and statement heels. Want more? From wardrobe essentials like plus size shirts, to stand-out styles from our plus size party tops edit, find your everyday 'fits right here."
Dsgn Studio Slogan Oversized Sweater,female,"70% Cotton, 30% Polyester. Machine wash. Model wears UK size M.",cobalt,£15.00,SWEATSHIRTS,"Street styling is made easier with this soft sweatshirt from our latest arrivals. Cut to a slouchy fit that's comfortable and warm, this sweater has long-sleeves and a collarless pullover design. Perfect for layering, wear this with your go-to joggers or jeans. Refresh your everyday fits with oversized, half zip and tie dye styles from our full  women's sweatshirts collection."
Wide Fit Platform Heeled Ankle Boots,female,Heel height: 12cm Upper: synthetic suede Lining: synthetic material Outer: synthetic materials,black,£33.75,SHOES,"Sitting pretty at the top of our wishlist are these stunning wide-fit boots. It’s all about comfort this year, and this style is the perfect combination of comfy and cool. Designed with extra room around the foot and ankle, these wide boots ensure maximum comfort so you can get your steps in without the blisters. Pair with skinny jeans and a longline padded coat for the perfect winter look, or team with your fave long-sleeved dress and get ready to cause a storm."
Oversized Relaxed Fit Tailored Blazer,female,NA,black,£26.25,COATS & JACKETS,"A menswear classic with a feminine edge, add a touch of soft tailoring to your wardrobe with a blazer. Resembling a suit jacket but cut more casually for an effortlessly chic look, blazers are the trans-seasonal piece you need. Featuring lapels and button detailing, we've got blazers for women who wanna bring a new kinda energy to their outfits. Team a double-breasted blazer with some heel boots, or get on board with the oversized trend and go for longline pieces for an edgy vibe."
Pink Ruched Cup Bandage Corset Top,female,"90% Polyester, 10% Elastane. Machine Wash. Model wears UK size 16.",baby pink,£18.75,CORSET TOPS,"Calling all trend-obsessed: category is… regency vibes. This waist-defining corset top shapes and contours the body, accentuating the bust and creating a snatched silhouette. With strappy tops that’ll look fire with that perfect pair of jeans, blouses that’ll turn heads in the office, and bustiers that are just waiting to be matched with some hot leather look trousers, it will be love at first scroll when you lay eyes upon our collection of corset tops."
Slinky One Shoulder Drape Crop Top,female,95% Polyester and 5% Elastane. Wash dark colours separately. Model Wears UK Size 10.,black,£11.25,TOPS,"Featuring a cut out detail to accentuate the shoulders and draw the eye upwards, give 'em the cold shoulder this season with this one shoulder top. Bare skin is in, and the one sleeve top is the perfect way to catch their eye. Whether you’re just in the mood for a cute cut out or going 100% sleeveless, we’ve got just the right thing to complete the look. Shop ruffles, ribbed styles, cropped cuts, and more from our wide selection."
Assymetric Structured Grab Bag,female,"Material: Main: 100% paper, Excluding trims",white,£13.50,ACCESSORIES,"Yes… plans are finally a thing again! Grab this mini bag on your way out, when you only need the essentials. Phone, ID, keys and your lipgloss... and you’re sorted. Don’t get weighed down with extra baggage, with this little grab bag you’ve got better mobility to be making moves all night long. Own that dancefloor! A super cute addition to any outfit, this elegant little handbag is a big must for any wardrobe."
Tall Dragon Embroidered Parachute Cargo Trousers,female,100% Polyester. Machine Wash. Model Wears UK Size 10.,khaki,£26.25,TALL CLOTHING,"Cut a chic silhouette with our collection of women's tall trousers - we've got all style scenarios covered. When it comes to long length trousers, you can't go wrong with high waisted looks, whilst our latest drop of tall leather trousers are perfect for giving your day-to-day outfits an upgrade. Whether you're investing in tall joggers or essential leggings, go ahead and show off those long pins with this perfect pair."
Ruched Front Gym Sports Bra,female,"95% Polyester, 5% Elastane. Machine wash. Model wears UK size 10.",black,£6.00,TOPS,"Let our women's sport bras keep you cool and fashion-forward whether you're hitting it hard at the gym, or just feel like something a little more comfortable on those busy, on-the-go days. Our stylish workout bras look unreal worn alone with matching leggings. If you're after extra support, grab a padded sports bra or push up style - our gym bras are about to become your new fave workout piece."
Beige Maternity Dsgn Studio Half Zip Sweatshirt,female,100% Polyester. Model wears size 10. Machine wash.,stone,£16.50,MATERNITY HOODIES & SWEATSHIRTS,"Comfy maternity hoodies and sweatshirts are the ultimate pregnancy wardrobe staple, and this one is no exception, baby-mama! Designed with a little extra room to fit comfortably over your bump, throw this piece on for ultimate effortless style. From oversized maternity hoodies to maternity sweaters, we’ve got you. Upgrade your summer looks by teaming with cycling shorts and chunky trainers, or keep it casual with some over-the-bump skinny jeans. This is your new go-to, girl! Who said pregnant mama’s have to compromise on style?!"
Pave Open Heart Necklace,female,"Material: 50% recycled zinc, 40% recycled steel, 5% glass, 5% resin",silver,£3.00,SUSTAINABILITY,"Finish off any look with one of our next level necklaces. Whether you prefer a simple choker, a vintage-inspired chain, or layered necklace set, our range of seriously slaying necklaces are ready to earn you major style points no matter what you team them up with."
Plus Woven Frill Hem Shirt Dress,female,100% Polyester. Machine Wash. Model Wears UK Size 16.,blue,£25.00,PLUS SIZE DRESSES,"Bring a new kinda attitude in this latest piece from our collection of plus size dresses. Available in UK sizes 16-24, our range of curve dresses carries all the on-trend pieces you need to feel confident. Whether it's a plus size black dress or skater style you're adding to your basket, we promise no more awkward fits, just dresses you can depend on. Work a flattering plus size shirt dress or smock shapes during the day, then take on the night in sexy styles, maxi lengths and Bardot necklines."
Satin Plunge Blouson Sleeve Midi Dress,female,NA,chocolate,£28.00,DRESSES,"Made with a satin weave fabric, this satin dress is a wardrobe staple. Soft to touch and extra luxe, a silky dress is all you need - just add a statement jacket and heeled boots to catch eyes. Its breathable and lightweight fabric make it perfect for warmer weather, and it's just as versatile for colder months too. With a shiny finish, nothing’s more iconic than a red satin dress, worn best with killer heels and diamante hoops. We love a satin maxi dress to transition from day to night, just swap trainers for heels."
Beige Tall Oversized Zip Through Hoodie,female,"50% Cotton, 50% Polyester. Machine wash. Model wears size UK 10.",taupe,£15.00,TALL HOODIES & SWEATSHIRTS,"Cosy season has arrived and that means the time for cute and comfy casual wear. Love at first scroll happens when you arrive at these tall hoodies and sweatshirts. Varied in colours and styles, and tailored for tall girls, these tall hoodies and sweats are a must-have all year round, but especially for nights in and binge-watching sessions. Designed to fit 5’7 and over, these pieces are soft and comfortable, longerline and have more fabric in the arms and torso."
Plus Tie Cuff Oversized Gingham Checked Shirt,female,100% Polyester. Machine Wash. Model Wears UK Size 16.,pink,£25.00,NEW IN,"Introducing your new fave top from our latest collection of plus size tops. Chic, versatile, and the perfect addition to your new-season wardrobe, this style is everything you’ve been scrolling for. Pair with your fave jeans and chunky trainers for off-duty days or go all-out with wide leg trousers and statement heels. Want more? From wardrobe essentials like plus size shirts, to stand-out styles from our plus size party tops edit, find your everyday 'fits right here."
Plus Varsity Oversized Sweat Tracksuit,female,"95% Polyester, 5% Elastane. Machine wash. Model wears UK size 16.",navy,£30.00,TOPS,"Introducing your new fave top from our latest collection of plus size tops. Chic, versatile, and the perfect addition to your new-season wardrobe, this style is everything you’ve been scrolling for. Pair with your fave jeans and chunky trainers for off-duty days or go all-out with wide leg trousers and statement heels. Want more? From wardrobe essentials like plus size shirts, to stand-out styles from our plus size party tops edit, find your everyday 'fits right here."
Black Cowl Neck Feather Trim Sleeve Blouse,female,95% POLYESTER 5% ELASTANE. MACHINE WASHABLE. MODEL WEARS A UK SIZE 10.,black,£13.50,COWL NECK TOPS,"Turn up the heat this season and serve looks in a cowl neck top. You can’t beat a cowl neckline; this glam look consists of fabric folds that fall from the neck, creating a draping effect on the front of the bodice, which, incidentally, is fab for accentuating your décolletage. Sitting pretty at the top of our wish list, cowl necks are a timeless trend and a dream for getting dressed up for big nights out, dream dates, or boozy bottomless brunches."
Woven Check Pleated Tennis Skirt,female,NA,grey,£13.50,SKIRTS,"Feeling sporty? Either way, you don’t need to own a racket to look fierce in this women's tennis skirt. A pleated mini skirt that typically resembles those worn in tennis matches, tennis skirts are the latest skirt trend to add to your wardrobe, and we’re here for it! From side buckle detailing to leather look fabrics, say hello to your new go-to. Pair with an oversized sweater and loafers for a new-season update, or swap out for a tank top and dad sandals for all the summer vibes."
Plus Broderie Tie Strap Cami,female,100% Polyester. Machine wash. Model wears UK size 16.,mustard,£15.00,PLUS SIZE VESTS & CAMIS,"If you wanna update your wardrobe essentials then this plus size vest top is just the way to do it. Sleeveless, form fitting, and perfect for layering under oversized jumpers in the winter or tucking into summery skirts when the sun’s out, a plus size cami top is the versatile piece every curve girl needs. Made with extra fabric for the perfect fit, tuck a satin camisole into high waisted blue jeans for an effortless night out look or choose a knitted plus size swing top for the ultimate casual vibe."
